t,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,u1,u2,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,v
0.0,-0.01134857260948283,-0.04192173495088078,-0.06389817386256293,-0.001311648002182926,0.1941849335996338,0.3351613030277138,0.12801596422392003,-0.11342154032082696,0.11951389603559953,0.2545111141089797,0.13501976768998225,0.18769254394967136,-0.02743521920130887,-0.4438950410389437,-0.39009308598744835,0.03299625364050441,-0.03299625364050455,0.39009308598744674,0.44389504103894417,0.027435219201310493,-0.18769254394967128,-0.13501976768998222,-0.25451111410897953,-0.11951389603559953,0.11342154032082696,-0.12801596422391925,-0.33516130302771363,-0.19418493359963446,0.001311648002182926,0.06389817386256297,0.04192173495088108,0.01134857260948283,0.0782152580017069,-0.04163918773106476,4.387326827409621e-05,0.00035994399333843103,0.0012035247199989514,0.002861651677002558,0.0054847303381454745,0.008696735645863346,0.01122889453383629,0.01291344736744336,0.01549278191733472,0.01570032338877333,0.006528925354066298,-0.017617299638643644,-0.07302485355518797,-0.14537116871320854,-0.18126208734422203,-0.1838482639905782,-0.16451649338038768,-0.1298430444109572,-0.08644001146758822,-0.04925201395249046,-0.033912112465457674,-0.02806085328973192,-0.024228936690320908,-0.01911426063994889,-0.014433165507386969,-0.011668171667795428,-0.008768472399376772,-0.005463706499731938,-0.002838775652607093,-0.0011934196670243702,-0.00035579319581948186,-4.343304538942086e-05,0.03924067965561553
2.2038977253748937e-05,-0.011325022573192543,-0.04189950977711975,-0.06384113815424343,-0.0012746333119036544,0.19419630045110786,0.33508528373798835,0.12799836065575632,-0.11335653362240566,0.11950252352659564,0.2544856764944072,0.1350366373269086,0.18766993501704135,-0.027441693133957272,-0.44384452931360174,-0.3900976815365306,0.032952154375778676,-0.032952158916566665,0.3900973503449081,0.44384452931762697,0.027441693126852296,-0.1876698155270884,-0.13503603278792067,-0.2544848784233083,-0.11950177805934949,0.11335703117341878,-0.1279982521406706,-0.33508528372169427,-0.19419630045841646,0.0012746333174257739,0.06384113814960184,0.04189950978086123,0.011325022572583918,0.07821404903967288,-0.04163819884313487,4.3874311908138525e-05,0.0003599513515923367,0.001203542535884315,0.002861650746095907,0.0054846434925694765,0.008696497137465136,0.011228744232515589,0.012913601389007963,0.015492624384066562,0.01569978372504147,0.006528554913297827,-0.017618014284943778,-0.07302333782372908,-0.14536588059462233,-0.1812587224592253,-0.18384552634029208,-0.164513804204665,-0.1298404234175929,-0.08643711538087448,-0.04925065775440223,-0.033911291652514455,-0.028060331433855085,-0.02422841842119074,-0.019114050034699143,-0.014433225545382034,-0.011667985187407519,-0.008768215207821818,-0.0054636140395712286,-0.0028387724868790994,-0.0011934346998008346,-0.000355800234982888,-4.3434016173710975e-05,0.039238269381286474
4.4077954507497874e-05,-0.011301931291777116,-0.04187717928784251,-0.06378417406406896,-0.0012375914798121738,0.19420762760788754,0.33500929942890934,0.12798076521006777,-0.11329155152077516,0.11949116199342019,0.2544602429817468,0.13505350088544957,0.18764732933509862,-0.027448164794711204,-0.4437940289260635,-0.39010226734702635,0.03290805549858319,-0.03290806460698375,0.39010160499214,0.4437940289421608,0.02744816476629222,-0.1876470903185164,-0.13505229187825574,-0.25445864686533637,-0.119489671016993,0.11329254659992671,-0.1279805481615316,-0.3350092993637508,-0.19420762763709198,0.0012375915018707064,0.06378417404553981,0.04187717930275561,0.011301931289430996,0.07821284006138143,-0.041637209943642776,4.3875353007375693e-05,0.0003599587055200236,0.0012035603361927603,0.002861649804274322,0.0054845566362894055,0.008696258675116302,0.011228593962305378,0.012913755324846087,0.015492466861082674,0.015699244115709745,0.006528184412604443,-0.017618728804811076,-0.07302182212176778,-0.1453605930116163,-0.18125535749448704,-0.18384278862049686,-0.16451111499991938,-0.12983780239364298,-0.08643421956261688,-0.04924930164345804,-0.033910470867121574,-0.02805980955921666,-0.02422790018852761,-0.01911383942932783,-0.01443328550834285,-0.011667798737131098,-0.008767958063985667,-0.005463521568047941,-0.002838769308935159,-0.001193449717850172,-0.0003558072700185789,-4.343498479875946e-05,0.03923585953104006
0.00026446772704498726,-0.011093847023437665,-0.041648598498142876,-0.06321834437061769,-0.0008657300175962741,0.19431874102166305,0.3342513690996386,0.12780525967168052,-0.11264308231070659,0.11937814939469135,0.25420613313420776,0.1352218027381063,0.18742145094232904,-0.027512756372719615,-0.4432896480371043,-0.39014759092530427,0.03246708906879745,-0.032467145331424196,0.39014361850029217,0.4432896486157791,0.02751275535166649,-0.18742001464639335,-0.1352145529374697,-0.25419655797893964,-0.11936920103200142,0.11264905141842532,-0.12780395627604602,-0.3342513667601602,-0.19431874206300043,0.000865730801043671,0.06321834371676635,0.04164859901699151,0.01109384696836144,0.07820074938636999,-0.04162732031537811,4.3885635258018285e-05,0.00036003200465525907,0.00120373748698565,0.0028616397840014168,0.0054836874889849846,0.008693876581177573,0.01122709296761913,0.012915289975712625,0.015490892193962486,0.015693851012712364,0.006524476113855503,-0.01762586705100269,-0.07300666672980133,-0.14530774661337198,-0.18122170347561553,-0.18381540760594223,-0.1644842213613613,-0.12981159048239452,-0.08640527613349155,-0.04923574532497362,-0.03390226452893514,-0.028054589781986328,-0.02422271986606542,-0.01911173336768468,-0.014433881018067288,-0.011665935887105924,-0.008765389246405427,-0.005462596231586254,-0.002838736855518748,-0.0011935990922184204,-0.00035587738962361304,-4.34445608496199e-05,0.03921178431122254
0.0004848574995824766,-0.010920583782988715,-0.041411872265193966,-0.06265907674151559,-0.0004913911860420808,0.19442600574278188,0.33349688301457603,0.12763057623983687,-0.11199706707250252,0.11926622928106267,0.2539524321518338,0.1353894994064886,0.18719589600620828,-0.027577120548712388,-0.44278639782350127,-0.39019194624650905,0.032026166649526566,-0.0320262727625475,0.3901846666014231,0.4427863997657522,0.027577117123852867,-0.18719325878396398,-0.13537621586864365,-0.25393488051634117,-0.11924981939829805,0.11200800794771532,-0.12762818464818487,-0.3334968751720453,-0.1944260092096311,0.0004913937841803371,0.06265907458680395,0.04141187395231753,0.010920583683358647,0.07818865709590819,-0.04161742954375851,4.3895713066575105e-05,0.0003601048610376491,0.0012039131017213718,0.002861628663711997,0.005482817292226807,0.008691499076401049,0.01122559506565769,0.012916816091107904,0.015489318540711497,0.01568846334129025,0.00652076184285629,-0.017632992660510615,-0.07299151431400658,-0.14525495364777968,-0.1811880415540025,-0.18378801967246688,-0.16445732484627518,-0.12978537556483732,-0.08637635949182855,-0.049222197711098946,-0.03389406094813564,-0.028049368133810218,-0.024217543182710913,-0.01910962728768005,-0.014434469059326072,-0.011664076031251858,-0.008762825182017838,-0.005461669777309811,-0.002838703170232405,-0.0011937470127235967,-0.00035594707925741255,-4.3453960302970836e-05,0.03918775129069226
0.0007035536651057127,-0.010775293054001302,-0.04117061664725479,-0.0621101433347223,-0.00011766661917451545,0.1945287398813963,0.3327515558509729,0.12745805432952623,-0.11135843547264469,0.11915624368180357,0.25370108440686745,0.1355553110206208,0.18697239308968325,-0.027640765495936647,-0.4422881294686239,-0.3902350088802195,0.03158868101417679,-0.03158883927193948,0.3902244502597741,0.4422881335523932,0.027640758299377635,-0.18696856058323788,-0.13553604706784095,-0.2536756200986523,-0.11913242558456744,0.11137430769775547,-0.1274545810656523,-0.3327515393809901,-0.1945287471124857,0.0001176720177460151,0.062110138884864594,0.04117062008795472,0.010775292998931301,0.07817665614215383,-0.041607613660018736,4.390554571862583e-05,0.0003601767127433684,0.0012040858666393511,0.002861616534239833,0.005481952763617229,0.008689144364184775,0.011224111715180122,0.012918322074818913,0.015487757969579465,0.015683122433518885,0.006517070229025187,-0.017640051027051476,-0.07297648130409111,-0.14520261908117824,-0.18115463056269662,-0.18376083539357643,-0.1644306321996912,-0.1297593591733819,-0.08634769149039798,-0.04920876280101482,-0.03388592313631999,-0.028044184767162247,-0.02421240987053473,-0.019107537368379543,-0.014435045230353,-0.011662233412148629,-0.008760285503412022,-0.005460749353737059,-0.0028386685174178086,-0.0011938923751568734,-0.0003560157961161208,-4.346314052889984e-05,0.03916394448231773
0.0009222498306289489,-0.010650522949563791,-0.040924377870386205,-0.0615668472146902,0.00025814759213596815,0.19462787112181065,0.33200953715204545,0.12728635296134105,-0.11072220627052473,0.11904732224234205,0.25345013877245054,0.13572052998446751,0.18674920699489767,-0.027704187153008895,-0.441790968080234,-0.39027712881416426,0.03115124879477812,-0.031151461876546202,0.3902632940500894,0.4417909750875291,0.02770417481226552,-0.18674417564988857,-0.1356952925257941,-0.2534167642758639,-0.11901609196536157,0.11074300766573239,-0.127281796183144,-0.33200950892445147,-0.19462788343067985,-0.00025813843698256107,0.061566839713522364,0.04092438360154549,0.010650523085479664,0.07816465361590262,-0.041597796673206185,4.3915237776907907e-05,0.000360248115853255,0.001204257153932724,0.002861603307479689,0.00548108723793291,0.008686794143116277,0.011222631377316812,0.012919819719768355,0.015486198371020773,0.01567778685908426,0.006513372770283822,-0.017647096962075042,-0.07296145127187018,-0.1451503369064493,-0.18112121191641956,-0.18373364435874034,-0.16440393676637755,-0.1297333399144634,-0.08631904976287494,-0.0491953364449704,-0.03387778804376011,-0.028038999567567065,-0.024207280128153246,-0.019105447420041298,-0.01443561410927162,-0.01166039371104364,-0.0087577504724299,-0.005459827861488382,-0.002838632634813086,-0.0011940363364338325,-0.00035608406790466453,-4.347219555297665e-05,0.03914017885810778
0.001140945996152185,-0.010541600712799856,-0.04067421922221727,-0.0610288698976034,0.0006359050036120563,0.19472348151099766,0.33127079050123925,0.12711547518085733,-0.11008837110092527,0.11893945828784477,0.2531995956784852,0.13588515739286064,0.18652633731770785,-0.0277673862005213,-0.44129491016500894,-0.39031831165007896,0.030713875251212493,-0.030714145848364245,0.39030120358656356,0.4412949208744486,0.027767367351626025,-0.1865201035980155,-0.13585395331783512,-0.2531583134607471,-0.11890081191767146,0.11011409950944893,-0.1271098330358014,-0.3312707474096997,-0.1947235001735625,-0.0006358911738574035,0.06102885863277888,0.04067422773151084,0.010541601226959517,0.0781526495261547,-0.04158797859458096,4.3924809690073156e-05,0.00036031906613879903,0.0012044269794888028,0.002861588976900134,0.005480220732759702,0.008684448399542962,0.011221154035750561,0.012921309058683102,0.015484639732305345,0.01567245661043759,0.0065096694844580605,-0.017654130471434607,-0.07294642424068741,-0.14509810701317097,-0.1810877856779972,-0.18370644659636529,-0.164377238569049,-0.12970731783409156,-0.08629043425792218,-0.04918191863440506,-0.03386965567243819,-0.028033812539716,-0.0242021539487642,-0.019103357437264108,-0.01443617572678232,-0.011658556912837716,-0.00875522007297538,-0.00545890531610778,-0.0028385955147489637,-0.0011941789104257992,-0.00035615188719386457,-4.348114176915424e-05,0.03911645423598771
0.0013596421616754212,-0.010444888919929245,-0.040420989299008475,-0.06049593787234322,0.0010154731020534504,0.1948156474957419,0.33053528196046444,0.126945422850664,-0.10945692094851976,0.11883264473322508,0.252949455869088,0.1360491940906,0.1863037838576949,-0.027830363490731418,-0.4407999520900965,-0.39035856309986977,0.03027656574489441,-0.03027689656090563,0.3903381845934596,0.44079996727688575,0.027830336778240233,-0.18629634424540045,-0.1360120302692671,-0.25290026838052243,-0.1187865784078389,0.1094875742364517,-0.12693869347594816,-0.3305352209220586,-0.19481567375112596,-0.0010154537164419474,0.06049592217295989,0.04042100102974656,0.010444890027367579,0.07814064388185746,-0.041578159435347484,4.3934277280963635e-05,0.0003603895603839089,0.0012045953583791416,0.0028615735362718057,0.005479353265371019,0.008682107119913867,0.011219679674184744,0.01292279012417146,0.015483082040779512,0.01566713167999392,0.006505960389356946,-0.01766115156103401,-0.07293140023376281,-0.14504592929129287,-0.18105435191003358,-0.18367924213485223,-0.16435053763038052,-0.12968129297811257,-0.08626184492434416,-0.049168509360782445,-0.03386152602430378,-0.02802862368832354,-0.024197031325543555,-0.019101267414684972,-0.014436730113452366,-0.011656723002454975,-0.008752694289095376,-0.005457981732886759,-0.002838557149963817,-0.0011943201103044544,-0.00035621924819575807,-4.3489991858275196e-05,0.03909277043498949
0.0015783383271986574,-0.010357558229379426,-0.040165367988364835,-0.05996781369837993,0.0013967308104567858,0.1949044408749654,0.3298029796257245,0.12677619689170774,-0.10882784629722501,0.1187268741844493,0.25269972032908145,0.13621264072906705,0.1860815465722224,-0.027893120008529122,-0.4403060901178997,-0.3903978889532496,0.02983932570754907,-0.029839719457975703,0.39037424287274397,0.44030611055380525,0.027893084085527656,-0.18607289756756554,-0.13616952401197807,-0.2526426300033507,-0.11867338409286433,0.10886342235338203,-0.12676837841442914,-0.32980289758054765,-0.1949044759263,-0.001396705023203463,0.05996779293280196,0.04016538334361719,0.010357560162907398,0.07812863669190429,-0.041568339206654946,4.394365277263104e-05,0.000360459596188691,0.0012047623049632136,0.002861556979649918,0.005478484852740306,0.008679770290772685,0.01121820827635486,0.012924262948716849,0.015481525283868867,0.015661812060126287,0.00650224550278406,-0.01766816023684512,-0.07291637927416554,-0.14499380363115405,-0.1810209106749055,-0.18365203100259528,-0.16432383397301276,-0.12965526539220024,-0.0862332817110986,-0.04915510861558311,-0.03385339910127507,-0.028023433018128183,-0.024191912251644535,-0.019099177346979503,-0.01443727729971119,-0.011654891964852788,-0.00875017310497052,-0.005457057126875278,-0.002838517533574125,-0.001194459948632391,-0.0003562861464347546,-4.349875561122952e-05,0.03906912727522894
